OTU	G441802_mean	G441303_mean	G441284_mean	G440282_mean	G441424_mean	G440305_mean	G445224_mean	G440606_mean	G440981_mean	G440883_mean	G441502_mean	G440205_mean	G440104_mean	G445302_mean
171409.0	.1	.6	.3	.3	.5	.4	.8	.8	.3	.8	.6	.3	.2	.0
2373126.0	.1	.9	.5	.4	.9	.6	.8	1.0	.6	1.7	.8	.4	.1	.0
4395096.0	42.6	41.8	65.3	42.9	36.6	99.4	49.6	64.9	32.9	32.0	19.0	77.1	81.6	77.3
152125.0	.0	.3	.2	.2	.8	.5	.6	1.1	.3	.5	.6	.4	.5	.0
178640.0	1.7	1.0	.8	1.4	.4	.2	.4	.9	1.3	1.1	.4	.3	.6	1.3
191694.0	1.7	1.0	.8	1.6	.5	.2	.4	.8	1.3	1.1	.4	.4	.6	1.3
4381553.0	85.1	118.0	108.6	78.7	72.9	226.3	109.6	121.6	42.3	70.2	60.4	185.8	138.8	100.2
4425214.0	76.4	74.9	54.4	53.7	73.9	18.1	27.8	84.5	63.0	86.2	66.5	40.7	90.7	90.2
263248.0	1.8	1.1	.9	1.7	.5	.2	.5	.9	1.4	1.2	.4	.5	.7	1.4
4479397.0	201.6	257.1	241.4	159.7	163.3	297.2	235.5	165.6	165.7	207.9	137.2	269.6	233.4	258.4
4429301.0	54.9	98.5	27.9	66.1	57.9	26.4	27.0	82.9	60.4	62.4	40.3	29.2	74.8	75.9
297143.0	1.8	1.1	.8	1.5	.5	.2	.4	.9	1.3	1.1	.4	.4	.6	1.4
4448492.0	2.3	4.2	3.0	4.2	4.3	8.2	4.2	4.1	3.4	1.9	3.2	5.1	4.1	3.4
673010.0	.1	.6	.3	.3	.6	.4	.7	.9	.4	.9	.6	.3	.3	.0
3797933.0	15.4	12.4	18.6	29.0	21.4	34.7	19.0	17.8	18.3	9.2	16.3	21.1	19.8	13.9
4385617.0	.1	.3	.2	.2	.7	.4	.7	.8	.2	.4	.7	.4	.5	.0
4383953.0	1.6	.8	.4	1.0	.5	.1	.3	.4	1.0	.7	.3	.1	.2	1.0
4395075.0	27.4	30.5	34.8	40.0	23.8	64.6	31.3	29.6	21.3	16.3	11.4	55.4	41.8	38.5
316496.0	1.5	1.1	.7	1.5	.4	.2	.4	.8	1.3	1.1	.3	.3	.6	1.1
4438983.0	22.2	23.7	14.8	8.3	12.6	3.6	7.6	11.1	15.8	8.3	8.4	4.9	5.7	17.1
4463892.0	18.4	20.1	31.0	18.6	16.3	30.5	25.7	27.7	20.5	14.5	9.9	28.4	28.2	26.3
901834.0	54.5	59.2	17.0	18.6	48.8	23.7	34.5	17.8	30.5	65.1	65.9	22.4	20.6	28.1
3070686.0	.9	1.2	.9	.7	1.1	.3	.5	1.2	2.2	1.0	.8	.3	.1	.6
4473883.0	40.4	29.3	16.2	23.6	23.0	5.8	12.3	25.3	17.8	34.1	27.8	10.7	44.3	48.7
3943182.0	1.3	1.6	1.7	1.2	.6	2.4	1.8	1.6	.8	.9	.4	3.0	2.8	3.7
4458576.0	2.5	2.8	2.8	3.4	4.0	12.4	4.8	4.6	3.2	3.4	6.3	4.5	2.9	2.5
4472091.0	17.0	13.1	11.8	14.0	10.6	7.7	6.5	10.9	5.5	7.4	6.0	8.3	11.5	14.4
163243.0	79.4	99.2	25.4	87.1	79.8	47.2	102.5	47.5	126.3	104.6	71.6	50.8	58.1	86.2
197072.0	1.1	1.1	1.1	.6	.5	2.2	1.9	1.7	.9	.5	.3	2.5	2.0	2.3
4451152.0	43.6	52.9	39.1	59.8	62.7	117.3	79.5	71.5	29.6	14.4	48.4	88.3	74.9	55.6
4466647.0	8.6	16.8	7.1	5.9	14.5	11.1	22.2	26.2	16.7	10.3	17.2	6.1	10.7	5.4
4436552.0	335.2	212.3	788.4	589.7	640.8	458.9	861.3	480.1	719.3	326.3	755.2	1091.5	501.7	357.2
4301511.0	18.0	18.2	12.8	16.9	12.9	8.1	10.3	16.1	27.3	29.8	31.3	7.5	19.9	13.2
3154070.0	1.3	1.1	1.1	.6	.4	2.2	2.1	2.1	.9	.6	.4	2.6	1.9	2.6
4450214.0	25.4	23.0	16.3	29.7	19.5	18.3	30.7	15.6	27.8	28.8	42.9	14.0	12.2	16.8
4468234.0	421.0	462.0	686.5	414.8	368.0	694.4	541.1	616.6	461.8	317.1	223.3	652.4	626.3	598.4
4465124.0	7.8	4.9	4.9	11.6	12.3	8.4	13.3	7.0	13.4	10.2	29.7	7.2	6.3	4.1
4425571.0	796.7	715.0	971.8	625.9	592.8	444.6	825.2	544.8	887.0	1211.6	718.0	496.9	643.1	822.1
4393532.0	9.2	6.7	2.5	2.7	3.5	1.5	4.1	5.7	4.0	3.1	2.9	2.2	4.7	8.0
4478125.0	368.9	406.8	313.4	465.8	449.9	341.9	392.3	273.6	387.9	260.4	707.7	496.9	380.5	358.6
4388385.0	4.8	6.6	4.5	3.8	5.9	5.8	7.3	10.0	7.5	6.6	7.6	2.6	7.2	4.1
3472078.0	.9	1.2	1.2	.8	.4	1.7	1.5	.9	.7	.6	.3	2.0	2.1	2.3
3931537.0	31.3	32.7	11.4	26.2	33.7	22.0	11.2	16.4	14.4	27.0	12.4	24.5	57.0	33.0
730906.0	31.7	32.7	20.1	44.4	46.6	25.1	22.6	32.9	21.3	21.4	29.5	16.9	22.8	34.0
4469576.0	12.2	16.1	20.5	33.1	11.2	11.4	10.6	16.0	6.9	10.1	5.1	13.9	17.0	19.4
4454531.0	11.0	9.6	11.1	8.5	6.9	5.8	11.6	6.9	10.0	14.6	8.8	6.8	7.6	10.9
182483.0	17.6	24.0	14.9	22.0	35.4	9.8	16.3	22.6	20.5	40.1	43.5	9.5	7.9	22.9
175535.0	.9	1.0	1.1	.7	.6	1.9	1.4	1.0	.6	.5	.4	1.5	1.5	1.7
1602314.0	2.7	2.4	.9	4.9	.5	.4	1.1	2.4	4.0	1.8	.4	.5	1.9	2.3
4004998.0	1.3	1.6	2.0	1.9	3.3	1.2	1.1	1.9	1.5	3.6	9.1	.8	.7	1.3
4424063.0	9.9	9.6	5.3	9.8	10.5	4.6	5.4	10.6	8.0	7.6	13.0	5.7	7.8	7.2
1944498.0	2.4	3.1	3.8	3.7	2.0	4.7	3.0	3.4	2.8	1.4	1.5	3.6	5.5	3.2
4306262.0	325.5	308.3	220.6	301.7	295.2	295.8	125.9	197.9	434.8	273.5	95.1	264.9	301.5	310.1
4439469.0	30.4	31.3	37.3	21.7	18.2	14.4	25.3	27.6	19.6	38.5	14.0	13.6	18.3	35.2
2700883.0	1.2	.9	1.3	3.4	2.4	2.2	2.2	1.1	1.0	1.0	3.0	1.4	.9	.8
171184.0	1.3	1.0	.3	1.2	.4	.1	.3	.4	.8	.7	.3	.1	.2	.8
4452613.0	204.9	230.6	221.9	188.6	193.7	153.8	280.8	217.1	268.4	284.4	200.7	266.8	280.8	274.4
4457268.0	31.7	28.8	40.8	27.5	24.3	17.8	33.3	23.6	37.8	50.5	28.6	20.5	25.9	38.2
4467992.0	15.5	10.7	6.8	10.3	10.3	2.4	4.2	9.5	7.0	11.4	12.3	4.7	14.7	13.9
2498994.0	131.4	117.0	49.1	69.5	104.8	38.4	35.6	105.6	82.0	95.6	104.4	63.4	111.7	86.6
4469167.0	90.0	62.7	51.0	69.6	67.1	78.7	82.3	41.5	65.3	58.7	110.0	68.2	51.7	57.8
4476604.0	90.5	88.2	90.3	100.0	73.5	49.1	43.7	65.6	40.2	49.1	40.2	51.8	77.6	120.2
165118.0	4.4	2.1	12.3	3.7	2.4	12.5	19.3	7.6	1.7	1.7	10.4	6.0	9.0	5.8
178773.0	19.5	24.7	21.7	33.1	35.4	29.6	23.7	17.2	22.0	19.7	49.2	19.6	13.6	18.1
4476186.0	21.4	8.2	57.5	45.0	33.5	27.2	41.5	42.7	34.0	14.9	49.6	47.3	19.7	20.6
3903651.0	24.1	33.3	37.3	19.6	21.1	22.0	20.1	25.3	13.6	15.9	10.5	19.5	23.0	35.2
4468391.0	64.0	78.4	25.5	53.1	47.7	28.0	38.8	38.2	33.1	27.5	33.9	37.6	74.6	85.4
4401580.0	1.9	1.9	2.1	1.7	1.5	3.2	2.2	1.8	1.5	1.6	1.0	2.5	2.3	2.7
4471854.0	21.9	21.3	7.0	17.0	18.4	12.4	9.0	23.8	12.5	12.6	18.7	10.5	24.1	16.9
1105016.0	83.9	50.9	40.2	103.5	99.1	31.5	60.4	52.4	57.2	60.2	56.3	49.7	27.9	66.8
179536.0	1.3	1.1	1.0	.9	.3	.2	.5	.7	1.8	.9	.4	.3	.7	1.3
181432.0	6.2	4.6	15.0	8.3	2.2	14.0	15.4	15.2	5.0	5.5	12.1	9.9	10.1	6.4
4479989.0	17.3	9.8	7.2	9.2	12.2	2.9	3.9	11.1	11.9	10.2	11.7	6.0	10.6	10.6
4457438.0	64.7	40.7	45.1	84.6	84.2	86.2	63.9	48.4	57.2	96.4	120.0	49.8	60.4	57.4
4278525.0	.9	.7	.8	.5	.4	1.7	1.2	1.0	.5	.5	.2	1.6	1.6	1.7
178387.0	9.6	4.3	33.4	30.0	20.3	15.6	39.0	17.9	23.8	17.8	54.9	43.4	33.8	15.6
4416570.0	12.6	12.4	4.9	7.8	13.0	9.1	4.2	14.5	8.1	7.2	8.8	7.1	18.0	10.6
4478762.0	12.4	7.1	7.9	5.8	7.7	2.6	3.3	12.5	12.8	10.4	9.7	6.4	10.5	7.9
4307093.0	13.8	7.2	28.6	28.7	16.9	18.9	33.1	9.7	11.8	11.0	41.8	58.6	9.5	7.3
4482374.0	6.2	14.8	28.2	1.8	2.7	2.8	5.2	3.2	2.7	7.0	5.3	2.8	9.7	5.2
174749.0	2.5	2.1	1.5	2.2	1.9	1.7	2.3	1.1	1.7	1.4	3.0	2.3	1.5	2.3
4474380.0	10.5	11.2	7.4	13.7	12.2	5.1	5.1	10.4	10.4	13.1	7.0	6.7	12.6	9.8
207126.0	17.4	8.1	14.2	9.1	13.7	2.9	11.3	10.8	45.4	18.8	7.5	12.4	9.9	11.7
50765.0	.1	.5	.2	.3	.6	.3	.5	.6	.4	1.0	.5	.2	.1	.0
4484034.0	2.3	2.9	2.9	2.0	1.9	4.1	2.7	2.2	1.9	2.4	1.7	3.4	3.1	3.2
2979308.0	6.7	4.9	6.4	1.9	1.3	3.4	1.1	4.7	3.1	4.6	2.1	1.5	5.1	6.2
180516.0	1.0	.6	.4	.9	.3	.1	.2	.5	.9	.7	.2	.3	.4	.8
4420408.0	.9	.8	1.2	.6	.7	2.0	1.3	1.0	.8	.7	.5	1.5	1.7	1.1
4456091.0	78.6	67.7	107.4	72.2	57.0	94.4	44.4	107.0	97.2	119.5	55.7	104.0	114.4	102.5
189920.0	1.0	.6	1.0	.6	.4	1.4	1.3	1.6	.7	.4	.3	1.9	1.5	2.0
187388.0	89.3	76.6	110.6	108.1	86.1	168.1	121.3	138.3	44.7	44.0	91.3	170.7	132.3	120.4
4426298.0	2.1	2.2	1.0	1.6	1.9	1.2	1.5	2.2	1.1	1.4	1.0	1.4	10.0	4.4
276478.0	1.1	.7	.5	1.0	.3	.1	.2	.5	.8	.7	.2	.2	.4	.8
4454432.0	1.0	.8	.3	.9	.3	.0	.2	.3	.7	.6	.2	.1	.2	.7
4425669.0	23.7	17.5	14.8	21.9	39.2	21.3	23.6	31.1	24.6	17.9	30.7	19.8	13.2	21.5
1142110.0	4.2	2.2	1.4	1.5	1.2	.4	1.0	1.7	3.6	3.9	1.0	.4	1.0	1.8
192347.0	23.9	12.7	27.2	30.7	35.4	16.5	33.9	14.0	22.3	39.1	41.7	16.3	13.9	21.9
177037.0	2.0	2.8	1.8	1.9	2.4	1.0	2.2	2.6	4.8	3.6	3.3	1.0	1.5	1.5
4356065.0	.7	1.0	.9	1.4	2.5	3.5	1.3	1.6	1.1	.8	1.1	2.8	1.4	1.0
4481613.0	12.5	9.7	9.1	11.0	8.6	4.3	11.1	13.3	11.6	12.7	12.4	5.2	11.2	22.2
183662.0	1.0	.9	1.8	1.0	.8	1.5	1.3	1.5	1.1	.6	.6	1.7	1.5	1.6
4449055.0	21.1	37.3	25.5	28.3	30.1	85.5	48.9	54.8	17.5	8.8	21.7	49.0	47.9	32.3
4328241.0	.8	1.1	1.4	.9	.7	1.7	1.3	1.4	.4	.7	.3	1.1	.8	.8
184394.0	1.6	1.5	1.2	3.4	2.9	2.7	1.5	1.9	2.1	1.5	2.8	3.9	2.1	1.1
4425663.0	28.3	17.0	11.9	16.3	29.7	13.3	28.0	7.3	33.0	30.3	39.3	13.7	14.5	23.6
4377149.0	65.5	36.4	20.6	40.2	44.3	40.3	31.0	24.2	38.8	37.2	52.9	31.1	31.6	41.2
4472813.0	2.4	2.9	2.3	1.3	3.4	2.2	4.5	4.1	3.4	4.3	2.9	1.7	4.7	2.2
191355.0	6.2	5.3	2.3	3.2	4.4	1.8	1.6	5.2	3.8	4.3	4.6	2.7	5.1	4.0
1044419.0	15.1	20.2	22.4	11.0	37.2	1.3	4.4	2.0	20.2	2.8	7.3	7.6	6.1	8.9
177679.0	16.1	6.6	13.7	12.8	9.9	11.9	20.3	12.3	10.6	5.5	22.1	23.9	10.5	12.3
287863.0	15.0	18.3	19.1	8.1	25.1	11.4	11.6	15.7	2.8	6.6	48.2	5.9	6.0	6.2
4480861.0	11.3	11.0	22.0	9.0	15.0	6.8	6.7	43.3	15.4	36.2	32.8	5.8	17.0	27.8
4473509.0	3.6	4.6	3.4	6.6	3.8	9.6	3.3	7.9	2.3	4.6	3.7	7.5	9.3	7.1
3084481.0	7.2	3.9	2.9	2.9	2.1	8.9	4.1	4.5	2.5	5.0	3.8	5.0	6.3	4.3
4483045.0	35.0	27.0	29.4	38.5	31.8	28.5	25.5	22.2	26.4	46.2	38.6	16.1	31.6	20.5
4386971.0	.3	.6	.7	.3	.6	.2	.3	1.1	1.6	.5	.7	.1	.1	.3
818935.0	.0	.2	.1	.1	.4	.3	.4	.7	.2	.2	.4	.2	.3	.0
4437362.0	2.5	2.8	4.3	2.4	1.5	4.9	2.7	2.5	2.3	3.2	1.1	9.6	6.1	3.8
4480529.0	9.3	6.5	3.0	10.2	13.5	6.5	4.6	6.0	6.2	11.0	10.3	5.6	11.2	9.3
4403113.0	3.1	3.2	2.5	3.7	3.8	2.9	3.3	2.4	3.3	2.2	5.7	4.2	3.0	3.0
4437359.0	5.2	4.7	4.8	6.4	5.9	7.0	5.7	3.5	4.3	4.2	7.0	6.9	4.2	4.6
4444262.0	9.0	7.0	6.7	17.7	5.1	9.4	2.3	13.4	3.0	1.9	1.3	5.2	12.8	3.6
2591420.0	.3	.3	.2	.2	.7	.3	.5	.8	.2	.6	.5	.3	.3	.1
4392188.0	54.5	57.5	49.9	63.4	126.2	96.5	53.7	41.3	66.3	71.1	71.9	72.7	47.4	58.8
193591.0	1.1	1.2	2.0	1.2	1.1	2.0	1.6	1.9	1.3	.9	.6	1.9	2.0	1.7
514523.0	3.2	3.6	5.1	8.3	3.2	3.1	3.7	3.5	4.0	5.1	4.7	4.3	4.2	3.6
3236435.0	29.3	28.3	15.2	18.8	17.6	15.0	21.1	24.5	36.9	23.5	26.1	10.1	21.7	23.3
4425495.0	69.4	74.1	115.2	55.6	61.3	117.3	98.1	110.5	115.1	66.9	66.6	82.9	110.4	104.5
4352657.0	6.0	6.1	2.4	7.0	7.5	3.0	5.9	8.4	5.4	5.4	8.1	5.0	13.9	5.8
176469.0	3.6	2.0	.4	4.0	.9	6.5	1.8	1.6	.9	1.7	.9	3.8	6.4	1.8
4465072.0	5.3	3.6	4.0	5.0	8.5	6.0	8.4	4.4	4.4	3.2	16.8	7.4	5.0	3.9
577170.0	.8	.8	1.2	.7	.4	1.2	1.1	.9	.6	.4	.3	1.4	1.3	2.0
4305923.0	43.6	39.0	5.1	12.7	37.8	12.3	18.6	5.1	9.0	16.0	16.3	11.8	14.5	17.4
190309.0	.7	.6	.8	.5	.5	1.7	1.0	.9	.6	.5	.4	1.1	1.1	.9
273357.0	.8	.5	.3	.6	.2	.1	.2	.4	.5	.5	.2	.2	.2	.6
4475758.0	19.0	25.1	23.1	28.8	13.5	26.5	22.0	12.6	10.6	7.3	6.0	26.4	16.9	21.9
4410166.0	1.4	.6	3.0	3.1	2.3	1.9	3.8	2.0	3.0	1.3	3.4	4.8	1.6	1.3
2730944.0	26.1	22.1	60.3	25.6	40.3	26.4	21.5	30.6	23.4	6.0	24.7	47.7	38.8	58.1
798581.0	44.4	53.0	18.4	38.5	34.5	21.5	31.8	28.3	25.1	23.8	23.8	26.8	50.7	63.7
825808.0	2.4	3.1	.8	1.3	1.7	1.0	.6	1.4	.8	1.0	1.1	1.0	3.6	3.0
2407149.0	10.0	9.1	10.0	16.3	21.5	19.5	9.8	10.3	11.1	8.3	16.3	19.8	8.3	8.6
4429445.0	.7	.4	.2	.1	.0	.0	.1	.1	.6	.2	.1	.0	.1	.6
4439360.0	1.1	1.4	1.5	1.0	1.0	2.0	1.4	1.1	1.0	1.2	.7	1.6	1.5	1.5
4468384.0	2.0	2.3	1.4	4.4	3.9	1.2	1.9	1.3	1.8	1.8	2.6	2.7	1.6	1.4
344154.0	.5	.5	.7	.4	.4	1.2	.7	.7	.5	.4	.2	.8	.8	.7
185420.0	15.7	12.2	10.8	8.2	8.7	25.6	17.6	10.7	9.6	8.7	9.8	14.9	17.6	17.6
4441855.0	3.6	3.7	2.5	2.5	3.6	.9	1.2	4.1	2.9	4.3	3.3	2.0	4.5	4.4
3537197.0	14.6	9.6	10.5	18.1	18.5	24.2	12.7	8.6	10.9	13.4	7.7	12.7	7.8	11.8
4431545.0	3.5	3.1	2.1	3.1	2.4	3.5	2.5	2.4	1.1	1.7	2.9	1.5	2.5	3.5
4402960.0	.6	.6	1.0	.6	.5	1.1	.8	.9	.6	.5	.3	1.0	.8	.9
1508541.0	1.1	1.2	2.2	1.2	1.2	2.0	1.5	1.9	1.4	.9	.6	2.0	1.9	1.7
301184.0	2.2	1.9	2.9	1.9	1.7	1.3	2.4	1.6	2.8	3.6	2.1	1.5	1.7	2.3
2530636.0	34.3	43.3	111.4	88.1	47.3	128.9	54.8	122.2	67.4	70.6	53.0	95.8	152.8	52.5
4391262.0	3.6	3.3	4.5	3.0	2.8	2.1	4.1	2.7	4.5	5.9	3.2	2.5	3.2	4.0
4426438.0	120.4	161.6	59.3	87.0	81.1	43.1	46.3	60.6	120.5	92.2	66.1	34.7	79.6	72.8
4366523.0	1.6	1.1	.5	1.0	1.7	1.3	.9	1.2	1.0	2.9	2.4	.9	.8	.8
1148281.0	.0	.2	.1	.1	.4	.3	.4	.6	.2	.3	.4	.2	.2	.0
52166.0	12.6	25.4	12.8	17.4	28.9	73.3	10.5	20.3	23.4	8.9	15.7	23.1	68.6	22.2
4390365.0	14.6	15.9	9.3	11.6	12.5	4.5	3.2	9.6	6.5	9.5	7.0	7.2	10.8	13.4
157298.0	.7	.4	.5	.3	1.9	2.1	.6	.6	.4	.3	.6	.7	4.1	.5
4295707.0	24.1	15.5	12.5	12.6	12.1	6.4	5.6	25.2	21.5	26.0	26.2	3.7	30.1	16.6
4483596.0	1.7	2.5	1.5	1.2	2.2	2.2	2.9	3.0	2.8	2.2	2.9	.9	2.7	1.3
2658058.0	.7	.4	.3	.5	.1	.1	.1	.3	.4	.4	.1	.1	.2	.5
552528.0	4.8	6.2	5.1	4.2	4.2	8.5	4.8	6.7	4.1	4.3	2.3	6.5	6.0	11.1
3117556.0	9.4	7.0	7.1	3.9	4.9	12.1	8.0	10.5	5.7	6.6	7.3	11.7	11.4	9.1
3609545.0	3.3	4.1	2.9	2.3	1.8	1.0	2.4	3.7	4.4	4.2	4.2	1.7	2.7	2.5
211354.0	1.8	2.2	2.0	3.7	5.5	3.0	2.8	1.9	1.0	2.3	4.1	2.3	2.0	3.1
2829179.0	19.1	36.9	17.3	9.3	21.0	19.0	8.2	25.0	17.7	8.0	8.7	19.5	35.9	26.4
